#TYPE Selected.System.IO.FileInfo
"MD5","SHA256","SIZE"
"6A4520618103A4D8BDDF50A4F97E907E","C553C120C49E925A2D7D5F9D2A2A9D151A5C719E2F4E2F39189B02C0368F7A23","38680"
"65BB7180872E99CFE082C841EFAFA317","69A278B81F35B9899358C1F34EA54FD71CFC7685D5ACE017171FF8C41DD77889","41240"
"C85E48C5EC444E84AA359B162A5681BE","EE41F18673FA1B2DADE40F60C24583CC0D26457388AD1DF8EF1EA8AEE58699A5","38168"
"75B19A0357BB6B15D4D2B94E2E027227","4A8C3DEBC2B1DC22D918EBF63541378CA82B6D464574B99CAB1215B02151E6DA","40728"
"20E1D8CEF6CAAD4ED31B57AE5007996B","A1F86747C7650EA810AB00252EE4986934D6C35E562F00910E0DE0E5E6B244F4","103192"
"335F30BC46C77E1E4CD418F6E38065ED","EB8F1DB09AD2A2B344024C6C24D7CF96A4E19D6C1D3ADED49014E78DC4BE199C","101656"
"42B4A5B47ABC63AA7ACD50B3A6CCB293","1A70F99DBD93323750C05A7B68D6014B21FC39EF336534FBFFCB180C48698F2A","103192"
"3EA6FA8698C54EBAD36777CE2CA80727","2D4A4FB7E07D354CFDD7CB0195BDADC61CC3E51877B2E57790BDEADFBD57B283","101656"
"51BC33C353AE45D241E1D601C9DE0B94","6F0AACFEE32D29840F575651F459AE3363F3884158BC1225B93C8283764A1FD4","103192"
"0C54ADFAE85B891A490CD8D6EB52CDF4","EB2AF98D8CA02B264755499FFDA2C4CAA0C0ACDFB2F95160E97F8741E0287957","101656"
"E92109AB162D858E73803B735821A11E","DD27D9C71EBFC177787C3EA43626917C848B114FD6BAC3C1C4504F595F343D5F","101656"
"60A8317738A5EE6983FDE73EA715D26D","25068253C89DDECD8D4D211A02B5790E61F1E26F98956208E5A04820BC7C4978","103192"
"78035B62D48743892494A45198AB9736","B864E11B50400A227F755A5CA12E4F66D43D00BFAFDC46B4011CC002D2B80324","101656"
"1545BCAB26657E54E6CCBD62805C7E24","6A903877359403AD56E509D5C40414051F3A0A978AAE1EF7709A2327A5F6BE2B","103192"
